,City,Temp_Farenheit,Humidity,Cloudiness,Windspeed,Latitude,Longitude
306,Tiksi,60.15,87.00%,40.00%,3.36,-33.93,18.42
307,Pointe Michel,55.18,62.00%,75.00%,17.22,-53.16,-70.91
308,Margate,55.00,68.00%,24.00%,8.01,-46.19,168.86
309,Moka,65.33,90.00%,0.00%,1.05,15.34,74.49
310,Rikitea,35.60,93.00%,90.00%,13.42,50.05,72.96
311,Albany,32.94,82.00%,90.00%,8.95,59.7,30.79
312,Lebu,81.80,100.00%,32.00%,10.78,-9.8,-139.03
313,Deputatskiy,80.60,78.00%,75.00%,6.93,-9.67,-35.74
314,Hermanus,65.33,90.00%,36.00%,5.30,-34.48,-54.34
315,Hithadhoo,54.84,58.00%,0.00%,3.36,42.77,-9.06
316,Mar Del Plata,42.80,81.00%,68.00%,12.75,62.23,-6.59
317,Placido De Castro,55.00,68.00%,24.00%,8.01,-46.19,168.86
318,Westport,78.80,39.00%,0.00%,8.77,-45.87,-67.48
319,Port Elizabeth,68.70,47.00%,80.00%,12.01,-33.64,115.35
320,East London,35.55,69.00%,90.00%,20.80,62.45,-114.38
321,Isangel,66.20,77.00%,75.00%,16.11,-23.65,-70.4
322,Avarua,11.33,71.00%,0.00%,2.62,68.75,161.3
323,Kazalinsk,59.00,88.00%,88.00%,5.01,-34.42,19.24
324,Makakilo City,78.56,100.00%,92.00%,8.43,-0.61,-47.36
325,Khoy,48.20,39.00%,75.00%,8.05,63.59,-135.9
326,Guapiacu,52.39,37.00%,1.00%,20.80,39.31,-74.98
327,Port-Cartier,76.76,100.00%,24.00%,18.50,-23.12,-134.97
328,Tiksi,89.60,66.00%,20.00%,4.70,-17.73,-149.15
329,Kovur,55.18,62.00%,75.00%,17.22,-53.16,-70.91
330,Souillac,36.53,59.00%,0.00%,13.58,52.79,27.54
331,Otradnoye,76.95,83.00%,40.00%,6.93,-16.99,145.42
332,Solwezi,70.01,50.00%,0.00%,9.10,-23.58,149.07
333,Port Alfred,48.92,45.00%,1.00%,3.36,64.86,-147.8
334,Cape Town,55.00,82.00%,75.00%,11.41,43.41,-124.22
335,Punta Arenas,77.00,94.00%,12.00%,9.17,-21.21,-159.78
336,Mataura,72.71,94.00%,64.00%,4.52,15.81,102.61
337,Vaini,55.18,62.00%,75.00%,17.22,-53.16,-70.91
338,Temirtau,82.97,100.00%,0.00%,5.41,-0.6,73.08
339,Nikolskoye,83.25,74.00%,40.00%,11.41,6.8,-58.16
340,Atuona,76.22,60.00%,8.00%,2.06,3.12,35.6
341,Maceio,65.33,90.00%,0.00%,1.05,15.34,74.49
342,Rocha,60.15,87.00%,40.00%,3.36,-33.93,18.42
343,Muros,29.69,99.00%,68.00%,2.95,50.68,156.12
344,Klaksvik,48.99,30.00%,12.00%,5.01,37.17,-99.65
345,Mataura,66.59,93.00%,24.00%,6.87,-33.69,-53.46
346,Illoqqortoormiut,71.36,79.00%,8.00%,1.95,-0.9,119.87
347,Comodoro Rivadavia,68.70,47.00%,80.00%,12.01,-33.64,115.35
348,Busselton,30.81,86.00%,75.00%,21.92,63.83,10.7
349,Yellowknife,53.02,66.00%,75.00%,10.29,-42.88,147.33
350,Sorvag,78.96,88.00%,40.00%,11.41,22.08,-159.32
351,Antofagasta,77.84,92.00%,0.00%,8.77,24.14,67.45
352,Illoqqortoormiut,50.81,71.00%,75.00%,9.17,-54.81,-68.31
353,Cherskiy,81.53,100.00%,36.00%,13.24,3.07,172.79
354,Hermanus,55.00,68.00%,24.00%,8.01,-46.19,168.86
355,Salinopolis,7.64,92.00%,24.00%,9.66,69.38,178.42
356,Mayo,55.18,62.00%,75.00%,17.22,-53.16,-70.91
357,Port Elizabeth,57.20,87.00%,90.00%,6.93,-41.87,-73.83
358,Rikitea,78.96,88.00%,40.00%,11.41,22.08,-159.32
359,Tautira,76.76,100.00%,24.00%,18.50,-23.12,-134.97
360,Punta Arenas,53.02,66.00%,75.00%,10.29,-43.03,147.26
361,Salihorsk,50.81,71.00%,75.00%,9.17,-54.81,-68.31
362,Mareeba,60.92,85.00%,12.00%,18.16,-34,24.73
363,Bluff,77.12,85.00%,36.00%,4.74,7.58,0.61
364,College,81.53,87.00%,0.00%,4.74,7.53,-12.5
365,North Bend,45.08,81.00%,0.00%,2.95,15.17,44.32
366,Avarua,53.02,66.00%,75.00%,10.29,-42.88,147.33
367,Phon,81.80,89.00%,0.00%,7.54,6.46,3.39
368,Punta Arenas,34.52,69.00%,90.00%,11.41,45.36,-73.48
369,Hithadhoo,78.96,88.00%,40.00%,11.41,22.08,-159.32
370,Georgetown,35.22,86.00%,88.00%,13.87,61.99,5.14
371,Lodwar,65.33,90.00%,0.00%,1.05,15.34,74.49
372,Vaini,13.31,83.00%,12.00%,3.85,69.3,139.9
373,Tidore,60.11,94.00%,12.00%,15.37,-28.55,16.43
374,Cape Town,53.02,66.00%,75.00%,10.29,-42.88,147.33
375,Severo-Kurilsk,55.00,68.00%,24.00%,8.01,-46.19,168.86
376,Sitka,47.21,65.00%,20.00%,13.87,35.06,136.67
377,Chuy,43.79,41.00%,1.00%,11.41,38.96,-90.19
378,Palu,77.00,65.00%,0.00%,3.36,-22.97,-42.02
379,Busselton,53.02,66.00%,75.00%,10.29,-42.88,147.33
380,Hovd,42.80,93.00%,5.00%,10.29,41,15.66
381,Illoqqortoormiut,78.96,88.00%,40.00%,11.41,22.08,-159.32
382,Hobart,57.20,87.00%,90.00%,6.93,-41.87,-73.83
383,Kapaa,81.26,71.00%,68.00%,4.63,-26.98,-56.83
384,Keti Bandar,66.20,77.00%,75.00%,16.11,-23.65,-70.4
385,Ushuaia,67.94,100.00%,88.00%,14.03,-33.59,26.89
386,Butaritari,68.70,47.00%,80.00%,12.01,-33.64,115.35
387,Mataura,77.00,94.00%,20.00%,2.24,-0.72,8.78
388,Leningradskiy,82.97,100.00%,0.00%,5.41,-0.6,73.08
389,Taolanaro,55.00,68.00%,24.00%,8.01,-46.19,168.86
390,Punta Arenas,73.16,71.00%,20.00%,9.33,-13.71,-76.2
391,Ancud,55.18,62.00%,75.00%,17.22,-53.16,-70.91
392,Kerki,38.32,56.00%,75.00%,26.40,42.65,-73.75
393,Kapaa,27.53,78.00%,20.00%,7.99,60.13,64.8
394,Rikitea,80.24,74.00%,75.00%,5.82,5.28,115.24
